image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.similarities.TestClassicSimilarityFactory#testParams	24	0	 0	0	.00	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testScoreNoneScoringForParent	24	0	 0	0	.04	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestRecovery#testLogReplayWithInPlaceUpdatesAndDeletes	24	0	 0	0	5.68	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestPseudoReturnFields#testFunctionsAndScoreRTG	24	0	 0	0	.05	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.ReturnFieldsTest#testHyphenInFieldName	24	0	 0	0	.00	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.SignificantTermsQParserPluginTest#testQParserBackwardsCompatibility	24	0	 0	0	.00	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestValueSourceCache#testNumerics	24	0	 0	0	.04	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestTrieFacet#testSingleValuedTrieP0_fcs	24	0	 0	0	.02	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestCollapseQParserPlugin#testNoDocsHaveGroupField	24	0	 0	0	.93	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestLRUCache#testNoAutowarm	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncTerms	24	0	 0	0	.07	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestSolrCoreParser#testHandyQuery	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestFoldingMultitermQuery#testGreek	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.similarities.TestSweetSpotSimilarityFactory#testDefaults	24	0	 0	0	.07	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestComplexPhraseQParserPlugin#testDefaultField	24	0	 0	0	.15	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.ReturnFieldsTest#testTrailingDollarInFieldName	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncMaxdoc	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.function.TestOrdValues#testReverseOrdFieldExactScore	24	0	 0	0	.02	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestSolr4Spatial#testRangeSyntax	264	0	 0	0	.06	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestFoldingMultitermQuery#testArabic	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestFoldingMultitermQuery#testWildcardRange	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestFoldingMultitermQuery#testLowerTokenizer	24	0	 0	0	.02	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncDist	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncDoubleValueMathFuncs	24	0	 0	0	.01	
<img src="images/skip.png" height="17" width="17">	org.apache.solr.search.TestCollapseQParserPlugin#testStringCollapse	0	0	 0	24	.00	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestSolr4Spatial2#testBadScoreParam	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncSub	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestRangeQuery#testCompareTypesRandomRangeQueries	24	0	 0	0	17.58	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncScale	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestTrieFacet#testMultiValuedTrieP0_fcs	24	0	 0	0	.02	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacets#testDomainJoinSelf	144	0	 0	0	.15	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestMaxScoreQueryParser#testPureMax	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testDateMathParsingEquality	24	0	 0	0	.05	
<img src="images/skip.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacetRefinement#testProcessEmptyRefinement	0	0	 0	24	.00	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestRangeQuery#testRangeQueryEndpointTO	24	0	 0	0	.03	
<img src="images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestFunctionQuery#testOrdAndRordOverPointsField	12	0	 0	12	.03	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacetsWithNestedObjects#testFacetingOnChildren	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestXmlQParser#testConstantScoreQueryXML	24	0	 0	0	.02	
