image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.master.snapshot.TestSnapshotWhileRSCrashes#test	2	0	 0	0	2.44	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestFromClientSideWithCoprocessor#testRawScanRespectsVersions	2	0	 0	0	2.27	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.wal.TestCombinedAsyncWriter#testWithoutTrailer	2	0	 0	0	.21	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.ipc.TestNettyIPC#testAsyncEcho[0:	2	0	 0	0	.08	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.mob.compactions.TestMobCompactor#testMajorCompactionWithWeeklyFollowedByMonthly	2	0	 0	0	16.96	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAsyncTableRegionReplicasGet#testReadSpecificReplica[0]	2	0	 0	0	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAsyncTableScan#testReversedScanAtRegionBoundary[0:	2	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.wal.TestWALSplitBoundedLogWriterCreation#testTralingGarbageCorruptionFileSkipErrorsPasses	2	0	 0	0	1.93	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.quotas.TestQuotaAdmin#testRpcThrottleWhenStartup	2	0	 0	0	10.06	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.filter.TestComparatorSerialization#testBigDecimalComparator	2	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.zookeeper.TestZooKeeperACL#testHBaseMasterServerZNodeACL	2	0	 0	0	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestMajorCompaction#testMajorCompactingToNoOutputWithReverseScan[1]	2	0	 0	0	14.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestFSErrorsExposed#testStoreFileScannerThrowsErrors	2	0	 0	0	1.96	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAsyncTableRegionReplicasGet#testReadSpecificReplica[1]	2	0	 0	0	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAsyncTableScan#testReversedScanAtRegionBoundary[1:	2	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestRSChoresScheduled#testDefaultScheduledChores	2	0	 0	0	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.replication.regionserver.TestReplicationSinkManager#testReportBadSink	2	0	 0	0	.16	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAsyncAdminRpcPriority#testCreateSystemTable	4	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAsyncTableRpcPriority#testCheckAndMutateSystemTable	3	0	 0	0	.08	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.procedure2.store.wal.TestProcedureStoreTracker#testDelete	4	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.util.TestWeakObjectPool#testKeys	4	0	 0	0	.16	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAdmin1#testSplitShouldNotHappenIfSplitIsDisabledForTable	2	0	 0	0	2.73	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.util.TestCommonFSUtils#streamCapabilitiesDoesNotAllowNullStream	4	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestMajorCompaction#testMajorCompactingToNoOutputWithReverseScan[0]	2	0	 0	0	18.67	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.TestClusterPortAssignment#testClusterPortAssignment	2	0	 0	0	17.21	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.TestIndividualBytesFieldCell#testIllegalTimestamp	4	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestFromClientSide#testNullWithReverseScan	2	0	 0	0	3.37	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestFromClientSide3#testHTableExistsMethodSingleRegionSingleGet	2	0	 0	0	1.30	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestMasterAddressTracker#testNoBackups	2	0	 0	0	.32	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.io.encoding.TestEncodedSeekers#testEncodedSeeker[1]	2	0	 0	0	2.89	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.master.balancer.TestStochasticLoadBalancer#testNeedBalance	2	0	 0	0	.74	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.wal.TestAsyncWALReplayCompressed#testReplayEditsAfterPartialFlush	2	0	 0	0	.69	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.TestRegionLocations#testSizeMethods	4	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.protobuf.TestProtobufUtil#testScan	2	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestCompactingToCellFlatMapMemStore#testFlatteningToJumboCellChunkMap[1]	2	0	 0	0	.23	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.coprocessor.TestRegionObserverInterface#bulkLoadHFileTest	2	0	 0	0	4.08	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestEncryptionKeyRotation#testCFKeyRotation	2	0	 0	0	9.34	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.filter.TestParseFilter#testCorrectFilterString	2	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.TestAcidGuaranteesWithNoInMemCompaction#testMobScanAtomicity	2	0	 0	0	32.31	
