image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestDocBasedVersionConstraints#testFloatVersionField	24	0	 0	0	.37	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.SolrIndexConfigTest#testTieredMPSolrIndexConfigCreation	24	0	 0	0	.33	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.PeerSyncTest#test	24	0	 0	0	13.38	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.TolerantUpdateProcessorTest#testMaxErrorsInfinite	24	0	 0	0	.06	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseIntNonRootLocale	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestUpdate#testUpdatableDocs	24	0	 0	0	.86	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.URLClassifyProcessorTest#testLength	24	0	 0	0	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestInPlaceUpdatesStandalone#testReplay_AfterInitialAddMixOfIncAndSetAndFullUpdates	24	0	 0	0	.13	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ClassificationUpdateProcessorTest#bayesMultiClass_maxOutputClasses2_shouldAssignMax2Classes	24	0	 0	0	.06	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.SkipExistingDocumentsProcessorFactoryTest#testExceptionIfSkipInsertParamNonBoolean	12	0	 0	0	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestInPlaceUpdatesStandalone#testUpdatingDocValues	24	0	 0	0	.27	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestInPlaceUpdatesStandalone#testMixedInPlaceAndNonInPlaceAtomicUpdates	24	0	 0	0	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestInPlaceUpdatesStandalone#testOnlyPartialUpdatesBetweenCommits	24	0	 0	0	4.72	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.SoftAutoCommitTest#testHardCommitWithinAndSoftCommitMaxTimeDelete	24	0	 0	0	12.22	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testFailedParseMixedFloat	24	0	 0	0	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.SignatureUpdateProcessorFactoryTest#testFailNonIndexedSigWithOverwriteDupes	24	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.SignatureUpdateProcessorFactoryTest#testDupeAllFieldsDetection	24	0	 0	0	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.CloneFieldUpdateProcessorFactoryTest#testCloneField	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.TolerantUpdateProcessorTest#testValidAdds	24	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ClassificationUpdateProcessorTest#knnMonoClass_sampleParams_shouldAssignCorrectClass	24	0	 0	0	.06	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.SkipExistingDocumentsProcessorFactoryTest#testSkipUpdatesTrueIfInitArgsFalseButTrueStringInRequest	12	0	 0	0	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.CloneFieldUpdateProcessorFactoryTest#testSelectorClone	24	0	 0	0	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.AtomicUpdatesTest#testRemove	24	0	 0	0	.17	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestInPlaceUpdatesStandalone#testReplay_AfterInitialAddMixOfIncAndSet	24	0	 0	0	.43	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestExceedMaxTermLength#testExceededMaxTermLength	24	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.DocExpirationUpdateProcessorFactoryTest#testAutomaticDeletes	24	0	 0	0	5.97	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestInPlaceUpdatesStandalone#testComputeInPlaceUpdatableFields	24	0	 0	0	.08	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.RegexBoostProcessorTest#testBoostGood	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.AddSchemaFieldsUpdateProcessorFactoryTest#testSingleFieldRoundTrip	24	0	 0	0	.67	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ClassificationUpdateProcessorFactoryTest#init_unsupportedFilterQuery_shouldThrowExceptionWithDetailedMessage	24	0	 0	0	1.66	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.SkipExistingDocumentsProcessorFactoryTest#testSkipUpdatesFalseIfInitArgsTrueButFalseBooleanInRequest	12	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.FieldMutatingUpdateProcessorTest#testConcatDefaults	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.AddBlockUpdateTest#testJavaBinCodecNestedRelation	24	0	 0	0	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseLongNonRootLocale	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.SoftAutoCommitTest#testSoftAndHardCommitMaxDocs	24	0	 0	0	9.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.DocumentBuilderTest#testSolrInputDocumentEquality	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.AddSchemaFieldsUpdateProcessorFactoryTest#testEmptyValue	24	0	 0	0	.65	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestDocBasedVersionConstraints#testSimpleDeletes	24	0	 0	0	.12	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.DistributedUpdateProcessorTest#testShouldBufferUpdate	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TransactionLogTest#testBigLastAddSize	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseUSPacificDate	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.MaxSizeAutoCommitTest#testDeletes	24	0	 0	0	2.33	
